Type,Price,Discount,Rating,Sold,Overseas
Bag,"Rs. 3,199",No discount,No rating,Not sold,Punjab
Bag,"Rs. 3,099",No discount,No rating,Not sold,Punjab
Bag,"Rs. 4,000",No discount,No rating,Not sold,Punjab
Bag,"Rs. 4,999",No discount,No rating,Not sold,Sindh
Bag,Rs. 280,No discount,No rating,Not sold,Sindh
Bag,"Rs. 2,200",No discount,No rating,Not sold,Sindh
Bag,"Rs. 1,599",27% Off,75 sold,75 sold,Punjab
Bag,Rs. 999,87% Off,1.1K sold,1.1K sold,Punjab
Bag,"Rs. 2,199",12% Off,257 sold,257 sold,Punjab
Bag,"Rs. 4,436",2% Off,No rating,Not sold,Federally Administered Tribal Areas
Bag,"Rs. 3,550",No discount,No rating,Not sold,Sindh
Bag,"Rs. 4,361",2% Off,No rating,Not sold,Overseas
Bag,"Rs. 3,758",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 3,750",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 4,481",2% Off,No rating,Not sold,Overseas
Bag,"Rs. 4,178",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 3,504",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 4,269",2% Off,No rating,Not sold,Overseas
Bag,"Rs. 2,222",8% Off,No rating,Not sold,Federally Administered Tribal Areas
Bag,"Rs. 2,999",No discount,No rating,Not sold,Punjab
Bag,"Rs. 3,784",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 3,991",9% Off,No rating,Not sold,Overseas
Bag,Rs. 999,86% Off,10.7K sold,10.7K sold,Punjab
Bag,"Rs. 3,996",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 4,061",2% Off,No rating,Not sold,Overseas
Bag,"Rs. 4,458",2% Off,No rating,Not sold,Overseas
Bag,"Rs. 4,439",2% Off,No rating,Not sold,Federally Administered Tribal Areas
Bag,"Rs. 3,564",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 3,804",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 3,847",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 1,080",57% Off,14 sold,14 sold,Punjab
Bag,"Rs. 2,018",No discount,No rating,Not sold,Overseas
Bag,"Rs. 4,230",2% Off,No rating,Not sold,Overseas
Bag,"Rs. 3,953",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 1,099",63% Off,No rating,Not sold,Islamabad
Bag,"Rs. 2,999",No discount,24 sold,24 sold,Punjab
Bag,Rs. 435,33% Off,72 sold,72 sold,Sindh
Bag,"Rs. 1,268",75% Off,87 sold,87 sold,Overseas
Bag,Rs. 648,No discount,5 sold,5 sold,Punjab
Bag,Rs. 715,50% Off,44 sold,44 sold,Overseas
Bag,"Rs. 1,700",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,399",35% Off,17 sold,17 sold,Punjab
Bag,Rs. 435,33% Off,12 sold,12 sold,Sindh
Bag,"Rs. 2,200",No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,750",No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,299",10% Off,No rating,Not sold,Punjab
Bag,Rs. 349,30% Off,31 sold,31 sold,Punjab
Bag,"Rs. 2,100",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,000",No discount,No rating,Not sold,Punjab
Bag,Rs. 765,36% Off,65 sold,65 sold,Sindh
Bag,"Rs. 1,750",No discount,No rating,Not sold,Punjab
Bag,Rs. 420,35% Off,20 sold,20 sold,Sindh
Bag,"Rs. 1,900",No discount,No rating,Not sold,Punjab
Bag,Rs. 435,33% Off,23 sold,23 sold,Sindh
Bag,"Rs. 1,200",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,500",No discount,7 sold,7 sold,Punjab
Bag,Rs. 435,33% Off,27 sold,27 sold,Sindh
Bag,"Rs. 1,180",41% Off,4.3K sold,4.3K sold,Punjab
Bag,Rs. 499,No discount,No rating,Not sold,Islamabad
